name,team,battingStyle,playingRole,bowlingStyle,description,image_link
Prasidh Krishna,India,Right hand Bat,Bowler,Right arm Fast medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322617.png"
Pavandeep Singh,Malaysia,Right hand Bat,Bowler,Slow Left arm Orthodox,,
Shiv Mathur,Hong Kong,Right hand Bat,Batter,Right arm Medium,,
Curtis Campher,Ireland,Right hand Bat,Allrounder,Right arm Medium fast,"Born in Johannesburg, raised in South Africa and a player for the national Under-19 side, Curtis Campher decided to leave his homeland behind and put his Irish passport to good use in early 2020, declaring his intentions to move to Ireland and play for the national team. He went on the Ireland Wolves' tour to Namibia early that year, and impressed sufficiently to win a place in the squad for a three-match ODI series in England in July.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321300/321343.png"
Liam Myott,Philippines,Right hand Bat,,Right arm Offbreak,,
Arshdeep Singh,India,Left hand Bat,Bowler,Left arm Medium fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322100/322178.png"
Timothy Barker,Luxembourg,Left hand Bat,,,,
Anilkumar Natubhai Ahir,Panama,Right hand Bat,,Left arm Medium,,
Johnson Charles,West Indies,Right hand Bat,Wicketkeeper Batter,,"A muscular opener with a penchant for swatting the ball square either side of the wicket, much like Dwayne Smith, Johnson Charles was part of West Indies' T20 World Cup winning teams in 2012 and 2016. While Smith's second skill is seam bowling, Charles' is wicketkeeping. With Denesh Ramdin representing West Indies in all three formats, and Andre Fletcher also in the limited-overs mix, West Indies have used Charles' second skill sparingly.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322008.png"
Kadek Gamantika(c),Indonesia,Right hand Bat,,,,
Valentine Mbazo ,Botswana,Right hand Bat,,,,
Ally Kimote,Tanzania,Right hand Bat,,Right arm Medium,,
Monroux Kasselman,Botswana,,,,,
